Producto Base ID,Recomendado ID,Recomendado Producto,Categoría,Sentimiento promedio
19,24,"HP Laptop Computer, 15.6"" HD Display Laptops for Business & School, Intel Pentium N200(4-Core CPU), 16GB RAM|256GB(128GB SSD+128GB External SSD), Wi-Fi|Webcam, Light-Weight, Windows 11, RKPC Bundle",laptops,0.0
20,35,"acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",laptops,0.658888888888889
20,40,"acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",laptops,0.658888888888889
20,45,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",laptops,0.503465909090909
20,65,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",laptops,0.503465909090909
20,32,"HP Chromebook 14 inch Laptop, FHD Display, Intel N100, 4 GB RAM, 64 GB eMMC, Intel UHD Graphics, Chrome OS 14a-nf0009nr (2024)",laptops,0.4439814814814815
21,10,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",laptops,0.1464710973436156
21,3,"ASUS 2024 Vivobook Go 11.6” HD Laptop, Intel Dual Core N4500, Intel Graphics, 4GB, 128GB, Windows 11 Home in S Mode, Star Black, L210KA-ES04",laptops,0.1078333333333333
21,1,"HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)",laptops,0.0870509607351712
21,24,"HP Laptop Computer, 15.6"" HD Display Laptops for Business & School, Intel Pentium N200(4-Core CPU), 16GB RAM|256GB(128GB SSD+128GB External SSD), Wi-Fi|Webcam, Light-Weight, Windows 11, RKPC Bundle",laptops,0.0
21,62,"LG gram 15-inch Lightweight Laptop, Intel Evo Edition - AI-enabled Intel Core Ultra 7 Processor, Windows 11 Home, 16GB RAM, 512GB SSD, Touch IPS Display, Black",laptops,0.2071428571428571
22,6,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120 Processor, 16GB RAM, 64GB SSD, Intel UHD Graphics, 720p Webcam, WiFi, HDMI, Win 11 S, Gold (Renewed)",laptops,0.314484126984127
22,9,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",laptops,0.3669544299201162
22,47,"HP 14 HD Laptop Computer Students Business, Quad-Core Intel Celeron Processor, 16GB RAM, 256GB Storage(128GB eMMC+128GB SD Card), 1 Year Office 365, HDMI, Win 12 w/TP Accessories",laptops,0.7500000000000001
